Entity,Code,Year,Total number of emigrants
Afghanistan,AFG,1990,7679582
Afghanistan,AFG,1995,4347049
Afghanistan,AFG,2000,4750677
Afghanistan,AFG,2005,4116739
Afghanistan,AFG,2010,5269518
Afghanistan,AFG,2015,5400916
Afghanistan,AFG,2020,5853838
Africa,,1990,20621464
Africa,,1995,22341394
Africa,,2000,22080003
Africa,,2005,25241406
Africa,,2010,29193852
Africa,,2015,35111959
Africa,,2020,40567163
Albania,ALB,1990,180204
Albania,ALB,1995,501066
Albania,ALB,2000,824442
Albania,ALB,2005,966032
Albania,ALB,2010,1117940
Albania,ALB,2015,1142844
Albania,ALB,2020,1250451
Algeria,DZA,1990,921665
Algeria,DZA,1995,979641
Algeria,DZA,2000,1037985
Algeria,DZA,2005,1599647
Algeria,DZA,2010,1655264
Algeria,DZA,2015,1836502
Algeria,DZA,2020,2022337
American Samoa,ASM,1990,2041
American Samoa,ASM,1995,2638
American Samoa,ASM,2000,3186
American Samoa,ASM,2005,2588
American Samoa,ASM,2010,2157
American Samoa,ASM,2015,1961
American Samoa,ASM,2020,1832
Andorra,AND,1990,3740
Andorra,AND,1995,4142
Andorra,AND,2000,5575
Andorra,AND,2005,5727
Andorra,AND,2010,7909
Andorra,AND,2015,8740
Andorra,AND,2020,11132
Angola,AGO,1990,824886
Angola,AGO,1995,688581
Angola,AGO,2000,913206
Angola,AGO,2005,716766
Angola,AGO,2010,651383
Angola,AGO,2015,618288
Angola,AGO,2020,668066
Anguilla,AIA,1990,1832
Anguilla,AIA,1995,2166
Anguilla,AIA,2000,2508
Anguilla,AIA,2005,2425
Anguilla,AIA,2010,2273
Anguilla,AIA,2015,2553
Anguilla,AIA,2020,2505
Antigua and Barbuda,ATG,1990,21382
Antigua and Barbuda,ATG,1995,26965
Antigua and Barbuda,ATG,2000,32782
Antigua and Barbuda,ATG,2005,36398
Antigua and Barbuda,ATG,2010,41347
Antigua and Barbuda,ATG,2015,52189
Antigua and Barbuda,ATG,2020,66561
Argentina,ARG,1990,430155
Argentina,ARG,1995,481968
Argentina,ARG,2000,555542
Argentina,ARG,2005,805291
Argentina,ARG,2010,938639
Argentina,ARG,2015,943843
Argentina,ARG,2020,1076148
Armenia,ARM,1990,899678
Armenia,ARM,1995,901859
Armenia,ARM,2000,877148
Armenia,ARM,2005,900648
Armenia,ARM,2010,917043
Armenia,ARM,2015,944520
Armenia,ARM,2020,958190
Aruba,ABW,1990,5887
Aruba,ABW,1995,6705
Aruba,ABW,2000,7662
Aruba,ABW,2005,9482
Aruba,ABW,2010,13524
Aruba,ABW,2015,16621
Aruba,ABW,2020,21456
Asia,,1990,56957000
Asia,,1995,59147922
Asia,,2000,65333613
Asia,,2005,72806043
Asia,,2010,88122177
Asia,,2015,103378019
Asia,,2020,114911484
Australia,AUS,1990,301013
Australia,AUS,1995,341312
Australia,AUS,2000,381836
Australia,AUS,2005,428769
Australia,AUS,2010,486949
Australia,AUS,2015,518158
Australia,AUS,2020,598765
Australia and New Zealand,,1990,689030
Australia and New Zealand,,1995,758234
Australia and New Zealand,,2000,871660
Australia and New Zealand,,2005,984280
Australia and New Zealand,,2010,1149265
Australia and New Zealand,,2015,1256202
Australia and New Zealand,,2020,1404924
Austria,AUT,1990,505214
Austria,AUT,1995,490045
Austria,AUT,2000,478091
Austria,AUT,2005,493349
Austria,AUT,2010,517401
Austria,AUT,2015,515234
Austria,AUT,2020,600740
Azerbaijan,AZE,1990,1634157
Azerbaijan,AZE,1995,1712214
Azerbaijan,AZE,2000,1630589
Azerbaijan,AZE,2005,1455180
Azerbaijan,AZE,2010,1160863
Azerbaijan,AZE,2015,1130348
Azerbaijan,AZE,2020,1163922
Bahamas,BHS,1990,25137
Bahamas,BHS,1995,29594
Bahamas,BHS,2000,34301
Bahamas,BHS,2005,34715
Bahamas,BHS,2010,35990
Bahamas,BHS,2015,42965
Bahamas,BHS,2020,53793
Bahrain,BHR,1990,12817
Bahrain,BHR,1995,26014
Bahrain,BHR,2000,47736
Bahrain,BHR,2005,51835
Bahrain,BHR,2010,52235
Bahrain,BHR,2015,56721
Bahrain,BHR,2020,58270
Bangladesh,BGD,1990,5450443
Bangladesh,BGD,1995,5423528
Bangladesh,BGD,2000,5441094
Bangladesh,BGD,2005,5492474
Bangladesh,BGD,2010,6319871
Bangladesh,BGD,2015,6831282
Bangladesh,BGD,2020,7401763
Barbados,BRB,1990,84766
Barbados,BRB,1995,89612
Barbados,BRB,2000,94998
Barbados,BRB,2005,92975
Barbados,BRB,2010,96193
Barbados,BRB,2015,101879
Barbados,BRB,2020,99611
Belarus,BLR,1990,1767600
Belarus,BLR,1995,1736493
Belarus,BLR,2000,1685646
Belarus,BLR,2005,1581160
Belarus,BLR,2010,1464702
Belarus,BLR,2015,1469882
Belarus,BLR,2020,1483626
Belgium,BEL,1990,363970
Belgium,BEL,1995,374734
Belgium,BEL,2000,398864
Belgium,BEL,2005,437701
Belgium,BEL,2010,484032
Belgium,BEL,2015,515793
Belgium,BEL,2020,577463
Belize,BLZ,1990,36101
Belize,BLZ,1995,41950
Belize,BLZ,2000,48211
Belize,BLZ,2005,51883
Belize,BLZ,2010,57371
Belize,BLZ,2015,63099
Belize,BLZ,2020,52756
Benin,BEN,1990,234314
Benin,BEN,1995,275696
Benin,BEN,2000,328046
Benin,BEN,2005,504165
Benin,BEN,2010,541152
Benin,BEN,2015,634923
Benin,BEN,2020,681827
Bermuda,BMU,1990,71681
Bermuda,BMU,1995,42587
Bermuda,BMU,2000,14079
Bermuda,BMU,2005,14907
Bermuda,BMU,2010,15313
Bermuda,BMU,2015,16225
Bermuda,BMU,2020,21107
Bhutan,BTN,1990,28461
Bhutan,BTN,1995,117967
Bhutan,BTN,2000,120183
Bhutan,BTN,2005,120319
Bhutan,BTN,2010,91934
Bhutan,BTN,2015,51391
Bhutan,BTN,2020,51998
Bolivia,BOL,1990,224693
Bolivia,BOL,1995,283540
Bolivia,BOL,2000,344702
Bolivia,BOL,2005,543766
Bolivia,BOL,2010,779961
Bolivia,BOL,2015,824008
Bolivia,BOL,2020,927244
Bonaire Sint Eustatius and Saba,BES,1990,445
Bonaire Sint Eustatius and Saba,BES,1995,540
Bonaire Sint Eustatius and Saba,BES,2000,647
Bonaire Sint Eustatius and Saba,BES,2005,753
Bonaire Sint Eustatius and Saba,BES,2010,7065
Bonaire Sint Eustatius and Saba,BES,2015,7295
Bonaire Sint Eustatius and Saba,BES,2020,8148
Bosnia and Herzegovina,BIH,1990,861760
Bosnia and Herzegovina,BIH,1995,1372526
Bosnia and Herzegovina,BIH,2000,1496691
Bosnia and Herzegovina,BIH,2005,1501036
Bosnia and Herzegovina,BIH,2010,1572925
Bosnia and Herzegovina,BIH,2015,1593430
Bosnia and Herzegovina,BIH,2020,1687639
Botswana,BWA,1990,26048
Botswana,BWA,1995,23315
Botswana,BWA,2000,26683
Botswana,BWA,2005,33281
Botswana,BWA,2010,44249
Botswana,BWA,2015,55294
Botswana,BWA,2020,63561
Brazil,BRA,1990,491359
Brazil,BRA,1995,730491
Brazil,BRA,2000,940458
Brazil,BRA,2005,1194575
Brazil,BRA,2010,1495404
Brazil,BRA,2015,1504231
Brazil,BRA,2020,1897128
British Virgin Islands,VGB,1990,3094
British Virgin Islands,VGB,1995,3368
British Virgin Islands,VGB,2000,3683
British Virgin Islands,VGB,2005,4008
British Virgin Islands,VGB,2010,4921
British Virgin Islands,VGB,2015,5118
British Virgin Islands,VGB,2020,5355
Brunei,BRN,1990,26323
Brunei,BRN,1995,35052
Brunei,BRN,2000,45242
Brunei,BRN,2005,45314
Brunei,BRN,2010,44541
Brunei,BRN,2015,45110
Brunei,BRN,2020,45340
Bulgaria,BGR,1990,612960
Bulgaria,BGR,1995,649430
Bulgaria,BGR,2000,688682
Bulgaria,BGR,2005,907821
Bulgaria,BGR,2010,1106483
Bulgaria,BGR,2015,1179625
Bulgaria,BGR,2020,1683074
Burkina Faso,BFA,1990,1021331
Burkina Faso,BFA,1995,1215665
Burkina Faso,BFA,2000,1279414
Burkina Faso,BFA,2005,1352292
Burkina Faso,BFA,2010,1434528
Burkina Faso,BFA,2015,1518568
Burkina Faso,BFA,2020,1599347
Burundi,BDI,1990,337100
Burundi,BDI,1995,540558
Burundi,BDI,2000,758673
Burundi,BDI,2005,619916
Burundi,BDI,2010,284078
Burundi,BDI,2015,459979
Burundi,BDI,2020,551105
Cambodia,KHM,1990,355428
Cambodia,KHM,1995,418213
Cambodia,KHM,2000,459621
Cambodia,KHM,2005,674436
Cambodia,KHM,2010,953059
Cambodia,KHM,2015,1074572
Cambodia,KHM,2020,1104819
Cameroon,CMR,1990,115835
Cameroon,CMR,1995,138936
Cameroon,CMR,2000,164296
Cameroon,CMR,2005,221232
Cameroon,CMR,2010,278898
Cameroon,CMR,2015,348974
Cameroon,CMR,2020,441015
Canada,CAN,1990,994254
Canada,CAN,1995,1064305
Canada,CAN,2000,1142641
Canada,CAN,2005,1185156
Canada,CAN,2010,1268057
Canada,CAN,2015,1263552
Canada,CAN,2020,1292329
Cape Verde,CPV,1990,91363
Cape Verde,CPV,1995,106954
Cape Verde,CPV,2000,124823
Cape Verde,CPV,2005,141984
Cape Verde,CPV,2010,152863
Cape Verde,CPV,2015,171429
Cape Verde,CPV,2020,187558
Caribbean,,1990,4139775
Caribbean,,1995,5035853
Caribbean,,2000,5966487
Caribbean,,2005,6506671
Caribbean,,2010,7273502
Caribbean,,2015,8135307
Caribbean,,2020,9078772
Cayman Islands,CYM,1990,356
Cayman Islands,CYM,1995,794
Cayman Islands,CYM,2000,1278
Cayman Islands,CYM,2005,1290
Cayman Islands,CYM,2010,1404
Cayman Islands,CYM,2015,1709
Cayman Islands,CYM,2020,1908
Central African Republic,CAF,1990,46354
Central African Republic,CAF,1995,49205
Central African Republic,CAF,2000,55416
Central African Republic,CAF,2005,131410
Central African Republic,CAF,2010,245933
Central African Republic,CAF,2015,686224
Central African Republic,CAF,2020,816668
Central America,,1990,6823036
Central America,,1995,9288464
Central America,,2000,12228703
Central America,,2005,13978650
Central America,,2010,16204451
Central America,,2015,16291222
Central America,,2020,16198974
Central Asia,,1990,5719892
Central Asia,,1995,6159859
Central Asia,,2000,6462345
Central Asia,,2005,6918899
Central Asia,,2010,7232295
Central Asia,,2015,7428032
Central Asia,,2020,7835504
Central and Southern Asia,,1990,31104020
Central and Southern Asia,,1995,29069983
Central and Southern Asia,,2000,30897694
Central and Southern Asia,,2005,33347690
Central and Southern Asia,,2010,41082388
Central and Southern Asia,,2015,46481130
Central and Southern Asia,,2020,51229549
Chad,TCD,1990,336798
Chad,TCD,1995,223096
Chad,TCD,2000,206052
Chad,TCD,2005,210661
Chad,TCD,2010,202423
Chad,TCD,2015,191269
Chad,TCD,2020,222303
Channel Islands,OWID_CIS,1990,18726
Channel Islands,OWID_CIS,1995,15626
Channel Islands,OWID_CIS,2000,12825
Channel Islands,OWID_CIS,2005,14815
Channel Islands,OWID_CIS,2010,15699
Channel Islands,OWID_CIS,2015,16469
Channel Islands,OWID_CIS,2020,17158
Chile,CHL,1990,493026
Chile,CHL,1995,499207
Chile,CHL,2000,511997
Chile,CHL,2005,541745
Chile,CHL,2010,571842
Chile,CHL,2015,618015
Chile,CHL,2020,643800
China,CHN,1990,4231625
China,CHN,1995,5030321
China,CHN,2000,5884919
China,CHN,2005,7337211
China,CHN,2010,8714648
China,CHN,2015,10240817
China,CHN,2020,10461170
Colombia,COL,1990,1009148
Colombia,COL,1995,1215967
Colombia,COL,2000,1433940
Colombia,COL,2005,1883904
Colombia,COL,2010,2554020
Colombia,COL,2015,2698688
Colombia,COL,2020,3024273
Comoros,COM,1990,40079
Comoros,COM,1995,51290
Comoros,COM,2000,70502
Comoros,COM,2005,96143
Comoros,COM,2010,109125
Comoros,COM,2015,121749
Comoros,COM,2020,150823
Congo,COG,1990,96370
Congo,COG,1995,115677
Congo,COG,2000,135235
Congo,COG,2005,172610
Congo,COG,2010,178111
Congo,COG,2015,204829
Congo,COG,2020,223767
Cook Islands,COK,1990,17485
Cook Islands,COK,1995,17009
Cook Islands,COK,2000,19478
Cook Islands,COK,2005,19580
Cook Islands,COK,2010,20556
Cook Islands,COK,2015,21555
Cook Islands,COK,2020,21106
Costa Rica,CRI,1990,69283
Costa Rica,CRI,1995,84980
Costa Rica,CRI,2000,105227
Costa Rica,CRI,2005,117618
Costa Rica,CRI,2010,132317
Costa Rica,CRI,2015,138237
Costa Rica,CRI,2020,150241
Cote d'Ivoire,CIV,1990,366336
Cote d'Ivoire,CIV,1995,449498
Cote d'Ivoire,CIV,2000,539234
Cote d'Ivoire,CIV,2005,731962
Cote d'Ivoire,CIV,2010,939795
Cote d'Ivoire,CIV,2015,1056380
Cote d'Ivoire,CIV,2020,1149298
Croatia,HRV,1990,425544
Croatia,HRV,1995,735213
Croatia,HRV,2000,907031
Croatia,HRV,2005,839084
Croatia,HRV,2010,820407
Croatia,HRV,2015,806242
Croatia,HRV,2020,1039526
Cuba,CUB,1990,835175
Cuba,CUB,1995,934168
Cuba,CUB,2000,1047789
Cuba,CUB,2005,1160309
Cuba,CUB,2010,1314739
Cuba,CUB,2015,1505827
Cuba,CUB,2020,1757300
Curacao,CUW,1990,2104
Curacao,CUW,1995,2849
Curacao,CUW,2000,3779
Curacao,CUW,2005,4618
Curacao,CUW,2010,45248
Curacao,CUW,2015,6239
Curacao,CUW,2020,7611
Cyprus,CYP,1990,174370
Cyprus,CYP,1995,163275
Cyprus,CYP,2000,153561
Cyprus,CYP,2005,153973
Cyprus,CYP,2010,163471
Cyprus,CYP,2015,166585
Cyprus,CYP,2020,173210
Czechia,CZE,1990,564746
Czechia,CZE,1995,620286
Czechia,CZE,2000,723333
Czechia,CZE,2005,752058
Czechia,CZE,2010,779438
Czechia,CZE,2015,819776
Czechia,CZE,2020,1026108
Democratic Republic of Congo,COD,1990,436513
Democratic Republic of Congo,COD,1995,559824
Democratic Republic of Congo,COD,2000,862039
Democratic Republic of Congo,COD,2005,1130872
Democratic Republic of Congo,COD,2010,1298544
Democratic Republic of Congo,COD,2015,1572222
Democratic Republic of Congo,COD,2020,1832069
Denmark,DNK,1990,201514
Denmark,DNK,1995,207707
Denmark,DNK,2000,217761
Denmark,DNK,2005,224462
Denmark,DNK,2010,233531
Denmark,DNK,2015,236832
Denmark,DNK,2020,257025
Developed regions,,1990,51826246
Developed regions,,1995,52993691
Developed regions,,2000,54458296
Developed regions,,2005,56551836
Developed regions,,2010,60587161
Developed regions,,2015,62613012
Developed regions,,2020,69815370
Djibouti,DJI,1990,5308
Djibouti,DJI,1995,6964
Djibouti,DJI,2000,9055
Djibouti,DJI,2005,11987
Djibouti,DJI,2010,13797
Djibouti,DJI,2015,16969
Djibouti,DJI,2020,18365
Dominica,DMA,1990,40563
Dominica,DMA,1995,44210
Dominica,DMA,2000,48275
Dominica,DMA,2005,64037
Dominica,DMA,2010,73583
Dominica,DMA,2015,72585
Dominica,DMA,2020,78191
Dominican Republic,DOM,1990,458021
Dominican Republic,DOM,1995,667015
Dominican Republic,DOM,2000,889451
Dominican Republic,DOM,2005,1014070
Dominican Republic,DOM,2010,1184417
Dominican Republic,DOM,2015,1454602
Dominican Republic,DOM,2020,1608567
East Timor,TLS,1990,11261
East Timor,TLS,1995,79050
East Timor,TLS,2000,148339
East Timor,TLS,2005,94961
East Timor,TLS,2010,35037
East Timor,TLS,2015,37325
East Timor,TLS,2020,39588
Eastern Africa,,1990,7784743
Eastern Africa,,1995,7734774
Eastern Africa,,2000,6079992
Eastern Africa,,2005,6192747
Eastern Africa,,2010,7524192
Eastern Africa,,2015,9824290
Eastern Africa,,2020,12027289
Eastern Asia,,1990,7049024
Eastern Asia,,1995,8166675
Eastern Asia,,2000,9352688
Eastern Asia,,2005,11019974
Eastern Asia,,2010,12863294
Eastern Asia,,2015,14417725
Eastern Asia,,2020,14820004
Eastern Europe,,1990,24779673
Eastern Europe,,1995,24168588
Eastern Europe,,2000,23820659
Eastern Europe,,2005,25554786
Eastern Europe,,2010,27578142
Eastern Europe,,2015,28822615
Eastern Europe,,2020,32194352
Eastern and South-Eastern Asia,,1990,14774419
Eastern and South-Eastern Asia,,1995,17860923
Eastern and South-Eastern Asia,,2000,21440854
Eastern and South-Eastern Asia,,2005,25556983
Eastern and South-Eastern Asia,,2010,30977206
Eastern and South-Eastern Asia,,2015,35205590
Eastern and South-Eastern Asia,,2020,38400740
Ecuador,ECU,1990,214008
Ecuador,ECU,1995,326230
Ecuador,ECU,2000,446380
Ecuador,ECU,2005,986599
Ecuador,ECU,2010,1152897
Ecuador,ECU,2015,1130774
Ecuador,ECU,2020,1127891
Egypt,EGY,1990,1321915
Egypt,EGY,1995,1492004
Egypt,EGY,2000,1708296
Egypt,EGY,2005,1807941
Egypt,EGY,2010,2586643
Egypt,EGY,2015,3151069
Egypt,EGY,2020,3610461
El Salvador,SLV,1990,1241849
El Salvador,SLV,1995,933103
El Salvador,SLV,2000,949042
El Salvador,SLV,2005,1118793
El Salvador,SLV,2010,1337085
El Salvador,SLV,2015,1512895
El Salvador,SLV,2020,1599058
Equatorial Guinea,GNQ,1990,36175
Equatorial Guinea,GNQ,1995,46412
Equatorial Guinea,GNQ,2000,59930
Equatorial Guinea,GNQ,2005,71789
Equatorial Guinea,GNQ,2010,84390
Equatorial Guinea,GNQ,2015,116947
Equatorial Guinea,GNQ,2020,128774
Eritrea,ERI,1990,170603
Eritrea,ERI,1995,375257
Eritrea,ERI,2000,511506
Eritrea,ERI,2005,299311
Eritrea,ERI,2010,328366
Eritrea,ERI,2015,624757
Eritrea,ERI,2020,802822
Estonia,EST,1990,113860
Estonia,EST,1995,129586
Estonia,EST,2000,141821
Estonia,EST,2005,150101
Estonia,EST,2010,153633
Estonia,EST,2015,189109
Estonia,EST,2020,206631
Eswatini,SWZ,1990,35179
Eswatini,SWZ,1995,30340
Eswatini,SWZ,2000,34116
Eswatini,SWZ,2005,44861
Eswatini,SWZ,2010,69030
Eswatini,SWZ,2015,46236
Eswatini,SWZ,2020,50039
Ethiopia,ETH,1990,1689941
Ethiopia,ETH,1995,816420
Ethiopia,ETH,2000,445886
Ethiopia,ETH,2005,524038
Ethiopia,ETH,2010,680290
Ethiopia,ETH,2015,842496
Ethiopia,ETH,2020,946129
Europe,,1990,47730278
Europe,,1995,48636003
Europe,,2000,49727784
Europe,,2005,51336984
Europe,,2010,54711301
Europe,,2015,56577753
Europe,,2020,63273663
Europe and Northern America,,1990,50532413
Europe and Northern America,,1995,51582164
Europe and Northern America,,2000,52877703
Europe and Northern America,,2005,54849090
Europe and Northern America,,2010,58681104
Europe and Northern America,,2015,60592402
Europe and Northern America,,2020,67601621
Falkland Islands,FLK,1990,255
Falkland Islands,FLK,1995,760
Falkland Islands,FLK,2000,1262
Falkland Islands,FLK,2005,1095
Falkland Islands,FLK,2010,1174
Falkland Islands,FLK,2015,1370
Falkland Islands,FLK,2020,1518
Faroe Islands,FRO,1990,7518
Faroe Islands,FRO,1995,10003
Faroe Islands,FRO,2000,12410
Faroe Islands,FRO,2005,12484
Faroe Islands,FRO,2010,12364
Faroe Islands,FRO,2015,13407
Faroe Islands,FRO,2020,12927
Fiji,FJI,1990,90161
Fiji,FJI,1995,106488
Fiji,FJI,2000,131908
Fiji,FJI,2005,157045
Fiji,FJI,2010,183607
Fiji,FJI,2015,208568
Fiji,FJI,2020,233856
Finland,FIN,1990,250610
Finland,FIN,1995,288655
Finland,FIN,2000,315861
Finland,FIN,2005,300562
Finland,FIN,2010,291883
Finland,FIN,2015,282223
Finland,FIN,2020,311889
France,FRA,1990,1215837
France,FRA,1995,1353297
France,FRA,2000,1555391
France,FRA,2005,1725216
France,FRA,2010,1956818
France,FRA,2015,2119266
France,FRA,2020,2341908
French Guiana,GUF,1990,2840
French Guiana,GUF,1995,3221
French Guiana,GUF,2000,3640
French Guiana,GUF,2005,3800
French Guiana,GUF,2010,3940
French Guiana,GUF,2015,4517
French Guiana,GUF,2020,4595
French Polynesia,PYF,1990,3132
French Polynesia,PYF,1995,3738
French Polynesia,PYF,2000,4300
French Polynesia,PYF,2005,2717
French Polynesia,PYF,2010,1550
French Polynesia,PYF,2015,1978
French Polynesia,PYF,2020,2157
Gabon,GAB,1990,15347
Gabon,GAB,1995,16610
Gabon,GAB,2000,18041
Gabon,GAB,2005,41357
Gabon,GAB,2010,36933
Gabon,GAB,2015,43075
Gabon,GAB,2020,48392
Gambia,GMB,1990,36280
Gambia,GMB,1995,38384
Gambia,GMB,2000,45427
Gambia,GMB,2005,61209
Gambia,GMB,2010,77440
Gambia,GMB,2015,96963
Gambia,GMB,2020,139210
Georgia,GEO,1990,919438
Georgia,GEO,1995,953280
Georgia,GEO,2000,967022
Georgia,GEO,2005,885523
Georgia,GEO,2010,805539
Georgia,GEO,2015,828931
Georgia,GEO,2020,861077
Germany,DEU,1990,2929448
Germany,DEU,1995,3045354
Germany,DEU,2000,3235247
Germany,DEU,2005,3442933
Germany,DEU,2010,3696638
Germany,DEU,2015,3630278
Germany,DEU,2020,3855268
Ghana,GHA,1990,371157
Ghana,GHA,1995,428051
Ghana,GHA,2000,495887
Ghana,GHA,2005,665731
Ghana,GHA,2010,762002
Ghana,GHA,2015,892253
Ghana,GHA,2020,1004324
Gibraltar,GIB,1990,11989
Gibraltar,GIB,1995,10130
Gibraltar,GIB,2000,8451
Gibraltar,GIB,2005,9643
Gibraltar,GIB,2010,10197
Gibraltar,GIB,2015,11916
Gibraltar,GIB,2020,13389
Greece,GRC,1990,1022125
